country,is--country,name,continent,eu_mem,briics_mem,nato,oecd_mem,g7,sweden
wbg,TRUE,West Bank/Gaza Strip,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
esh,TRUE,Western Sahara,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
world,TRUE,World,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
yem,TRUE,Yemen,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
zmb,TRUE,Zambia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
zwe,TRUE,Zimbabwe,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
row_asia,TRUE,RoW Asia-Pacific Region,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
row_africa,TRUE,RoW Africa,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
row_europe,TRUE,RoW Europé,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
row_america,TRUE,RoW America,n_and_s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
row_me,TRUE,RoW Middle East,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
non_oecd,TRUE,Non-OECD economies,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
oecd_twosix,TRUE,OECD26,other,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
